什么是“代理式AI”（Agentic AI）？,它标志着自主系统在推理、规划和执行多步骤任务方式上的重大转变，不仅仅是传统的单模型提示。
代理式AI工作流与传统LLM提示有何不同？,代理式工作流集成多个专用代理、工具和外部系统，形成能够自主决策和行动的动态管道。
根据论文，一个“AI代理”的本质是什么？,它是一个使用LLM、工具、API和外部上下文来自动执行任务的软件程序。
构建生产级代理式AI工作流面临的核心挑战是什么？,如何设计、工程化和操作可靠、可观察、可维护且符合安全与治理要求的系统。
论文中提出的模型上下文协议（MCP）在代理式工作流中扮演什么角色？,它是一种用于代理与外部服务之间结构化通信的标准化机制。
在构建生产级代理式AI工作流时，会遇到哪四类工程复杂性？,设计挑战、实施挑战、运营挑战和部署挑战。
在播客生成案例中，“网页搜索代理”的首要任务是什么？,通过查询RSS源和基于MCP的搜索端点，从互联网收集最新更新。
在播客生成工作流中，“主题过滤代理”的职责是什么？,评估每篇文章与用户指定主题的相关性，并仅返回过滤后的URL。
为什么在播客生成案例中，“网页抓取代理”将HTML转换为Markdown格式？,为了确保下游代理处理的是一致、结构化的文本。
播客生成工作流使用“代理联盟”（agent consortium）的目的是什么？,"利用来自不同LLM提供商（如OpenAI, Gemini）的多个代理独立生成播客脚本，以获得多样化的草稿。"
在多模型生成后，“推理代理”在播客工作流中起什么关键作用？,通过比较、解决不一致之处并综合多个草稿，生成一个统一、可靠的最终脚本。
在论文提出的九个最佳实践中，第一个实践建议优先选择 _____ 而不是 _____。,工具调用 (Tool Calls) ； 模型上下文协议 (MCP)
为什么优先选择“工具调用”而非MCP集成？,因为MCP可能降低确定性，使代理推理复杂化，并导致模糊的工具选择行为和不稳定的故障。
论文建议用“纯函数调用”取代工具调用的情况是什么？,对于不需要语言推理的操作，例如向API发布数据或向GitHub提交文件。
与工具调用相比，“纯函数调用”有哪些优势？,它们是确定性的、副作用可控的、更便宜、更快且完全可测试的。
为什么应该避免为单个代理附加多个工具？,这会增加提示的复杂性，迫使模型在选择和参数化工具上进行不必要的推理，从而降低可靠性。
“一个代理，一个工具”的设计原则带来了什么好处？,它创建了可预测的角色，简化了提示，消除了工具选择的噪音，并提高了模块化和可解释性。
