Dan Koe认为真正的人生改变应该从哪一个层面开始？,从“你是谁”（身份）开始。
为什么多数人的改变会半途而废？,因为他们试图用“旧身份”去过“新人生”，行为无法超越对自我的认知。
在改变过程中，“身份”、“认知”与“行动”三者的关系是什么？,身份塑造认知，认知指导行动，行动强化身份。
判断一个人是否“真心渴望”改变的唯一标准是什么？,看其实际行动（生活发生在事件层面，而不是语言层面）。
人们在即将成功时主动“搞砸”事情的潜意识原因是什么？,对“旧身份死亡”和面对新责任的未知恐惧。
从心理学角度看，所有“自我毁灭”行为（如拖延）的共同目的是什么？,实现潜意识里的“自我保护”（如追求安全感或避免被评判）。
身份形成循环的第2步中，个体如何看待现实？,通过目标的“感知透镜”只关注有助于达成目标的信息。
在身份形成的7步循环中，哪一步是阻碍成长的致命点？,第6步：拼命捍卫已经不再适合自己的旧身份以维持心理一致性。
打破身份循环的关键点在哪里？,主动中断惯性，通过深度自我剖析重新定义自己。
心智发展阶段：冲动期（Impulsive stage）,完全被本能支配，行动与冲动之间没有间隔。
心智发展阶段：自我保护期（Self-protective stage）,核心是避免惩罚、获得安全感，开始学会说谎或掩饰。
心智发展阶段：从众期（Conformist stage）,身份等于群体，规则即现实，核心是寻求归属感。
心智发展阶段：自我觉察期（Self-aware stage）,开始意识到内心世界与外在表现的不一致，并质疑自我。
心智发展阶段：尽责期（Conscientious stage）,建立自己的原则和价值观，并开始为自己负责。
心智发展阶段：个体期（Individualistic stage）,意识到自己的原则受环境塑造，开始接纳局限并灵活成长。
心智发展阶段：战略期（Strategic stage）,具备系统思维，能主动质疑自己的盲点并不被单一框架束缚。
心智发展阶段：构建觉察期（Construct-aware stage）,将所有框架和身份视为“有用的虚构”，不再被身份绑架。
心智发展阶段：统一期（Unitive stage）,自我与生活彻底融合，达到内心平和与知行合一的状态。
“一天重置计划”的真实含义是什么？,在一天内完成身份重置，启动新的行为循环，而非达成所有目标。
“一天重置计划”上午阶段的核心任务是什么？,心理挖掘：通过直面痛苦构建愿景，唤醒改变动力。
在直面痛苦时，如何通过旁观者视角识破自己的“虚假渴望”？,只看行为结果（如刷手机），推断出自己真正想要的是什么（如短暂快乐）。
什么是“反愿景”（Anti-vision）？,清晰地描绘出自己绝对不想过的人生及其惨痛代价。
构建理想愿景时，核心追问的问题是什么？,要过上这种理想生活，我必须成为什么样的人？
“一天重置计划”白天阶段的核心任务是什么？,打断惯性：通过随机提醒让新身份在日常生活中落地。
白天设置6个随机闹钟的目的是什么？,培养觉察力，即时调整不符合理想愿景的行为。
闹钟响起时应自问的三个核心问题之一关于“理想自我”的是什么？,如果我已经是理想中的自己，会做（现在正在做的）这件事吗？
什么是“时间黑洞”？,无意义且大量消耗精力的时间段，如无目的刷短视频。
白天阶段对新身份的“微启动行动”有何要求？,做一件与新身份匹配的小事，不求完美但求践行。
“一天重置计划”晚上阶段的核心任务是什么？,整合复盘：明确内在阻碍，固化新身份的锚点。
晚上的“拒绝宣言”对应的是哪个心理概念的压缩版？,反愿景（Anti-vision）。
晚上的“承诺宣言”应包含哪两个关键元素？,你是谁（新身份）以及你会做出的具体行动。
重置计划中制定的“一年视角目标”其主要作用是什么？,彻底打破旧身份的行为模式。
重置计划中制定的“每日视角目标”其核心要求是什么？,做2-3件与新身份匹配且可落地的小事。
后续执行原则：身份优先，行为为辅。,做任何事时先问该行为是否符合新身份，让行动自然跟随。
为了持续迭代认知，Dan Koe建议每日投入多少时间进行学习输入？,30分钟。
每日1小时的迭代时间中，除了30分钟输入，另外30分钟应做什么？,创造输出，以强化行动并实践新身份。
定期校准的建议频率是多少？,每季度安排一次“重启日”。
如何正确看待改变过程中的“破例”行为？,允许偶尔破例，但要快速回归轨道，避免彻底放弃。
Dan Koe认为改变的最好时机是什么时候？,就是现在。
根据阿德勒的理论，相信什么的优先级最高？,只相信行动。
为什么说维持现状也是有“代价”的？,如果不改变，未来会错过机会、失去关系并留下终生遗憾。
在身份循环中，为什么人们会把行为当作“性格特质”？,为了维持心理一致性，将行为标签化（如“我就是懒”）。
心智发展从“从众期”迈向“自我觉察期”的标志是什么？,发现内心世界与外在表现的不一致。
战略期心智的标志性特征是什么？,具备系统思维，能主动质疑自己的盲点。
重置计划中，早上的心理挖掘大约需要多少时间？,30-60分钟。
描述反愿景时，为什么需要“细节描摹”？,通过具体的痛苦场景产生强烈的逃避动力。
白天阶段拆解日程的目的是找出哪两类时间？,“时间黑洞”和“高价值时段”。
晚上复盘时，识别出的“内在阻碍”通常是什么？,潜意识里的恐惧（如恐惧失败或恐惧他人评判）。
“宣言”在改变过程中起什么作用？,通过语言强化锚定身份，影响潜意识决策。
对于初学者，在尝试新习惯时应遵循什么原则？,聚焦1-2个核心习惯，接受不完美。
身份重置的三个阶段按时间顺序排列为？,心理挖掘（上午）、打断惯性（白天）、整合复盘（晚上）。
“身份”对“目标”的影响体现在循环的哪一步？,最后一步：身份会塑造新的目标，启动新循环。
“个体期”心智如何看待自己的价值观？,意识到价值观是被环境塑造的，从而变得更灵活。 
为什么在重置计划中要关闭手机通知和断网？,为了在无干扰的空间内直面内心真相。
理想愿景中的“周二细节”应包含哪些方面？,作息、饮食、工作状态、人际互动及心理感受。
白天闹钟自问：我现在做的事是出于身份保护还是_____？,真心渴望。
一年视角目标的核心指标是什么？,具体且能打破旧身份模式（如掌握新技能或减重）。
Dan Koe提出的改变公式：_____ → 认知 → 行动 → _____。,身份；身份。
为什么说“自我毁灭”行为也是目标导向的？,因为它们在帮个体达成隐藏的“保护性目标”。
在心智发展的“构建觉察期”，个体如何看待自己扮演的角色？,带着温和的幽默感看待，不再被其绑架。
重置计划结束后，如何判断新身份是否在扎根？,看行为是否逐渐变得自然，无需刻意消耗意志力。
核心观点：你到不了理想境地，是因为你还不是_____的人。,能抵达那里。
“伪装成理想中的人去生活”是哪种改变策略？,身份预演或身份先行策略。
为什么改变不需要超强的意志力？,因为一旦身份转变，符合新身份的行为会成为自然选择。
